longitude,latitude,Y.Lat,X.Long,ID 
-97926057,30189363,30.189363,-97.926057,800001
-97926057,30189363,30.189363,-97.926057,800002
-97922208,30329815,30.329815,-97.922208,800003
-97921459,30189740,30.18974,-97.921459,800004
-97921192,30332910,30.33291,-97.921192,800005
-97919181,30198153,30.198153,-97.919181,800006
-97918893,30191663,30.191663,-97.918893,800007
-97917305,30192878,30.192878,-97.917305,800008
-97916412,30379181,30.379181,-97.916412,800009
-97912849,30170899,30.170899,-97.912849,800010
-97907767,30187515,30.187515,-97.907767,800011
-97905692,30192752,30.192752,-97.905692,800012
-97903733,30236705,30.236705,-97.903733,800013
-97903598,30194425,30.194425,-97.903598,800014
-97903578,30194511,30.194511,-97.903578,800015
-97902343,30186032,30.186032,-97.902343,800016
-97902103,30188844,30.188844,-97.902103,800017
-97900732,30243947,30.243947,-97.900732,800018
-97900156,30200211,30.200211,-97.900156,800019
-97899894,30189743,30.189743,-97.899894,800020
-97899531,30187659,30.187659,-97.899531,800021
-97899428,30242699,30.242699,-97.899428,800022
-97899213,30260050,30.26005,-97.899213,800023
-97899018,30199027,30.199027,-97.899018,800024
-97897993,30235807,30.235807,-97.897993,800025
-97894352,30239674,30.239674,-97.894352,800026
-97893957,30193242,30.193242,-97.893957,800027
-97893738,30414218,30.414218,-97.893738,800028
-97893455,30186174,30.186174,-97.893455,800029
-97893455,30186174,30.186174,-97.893455,800030
-97893083,30184510,30.18451,-97.893083,800031
-97892998,30191595,30.191595,-97.892998,800032
-97892605,30189927,30.189927,-97.892605,800033
-97892139,30237613,30.237613,-97.892139,800034
-97891855,30219862,30.219862,-97.891855,800035
-97891599,30238437,30.238437,-97.891599,800036
-97891185,30187866,30.187866,-97.891185,800037
-97890798,30194193,30.194193,-97.890798,800038
-97890299,30186261,30.186261,-97.890299,800039
-97890135,30242945,30.242945,-97.890135,800040
-97889945,30245146,30.245146,-97.889945,800041
-97889862,30185296,30.185296,-97.889862,800042
-97889837,30213665,30.213665,-97.889837,800043
-97889346,30184213,30.184213,-97.889346,800044
-97889174,30194531,30.194531,-97.889174,800045
-97888073,30218078,30.218078,-97.888073,800046
-97885589,30257033,30.257033,-97.885589,800047
-97885010,30244964,30.244964,-97.88501,800048
-97884653,30216625,30.216625,-97.884653,800049
-97883897,30236556,30.236556,-97.883897,800050
-97883597,30188369,30.188369,-97.883597,800051
-97881407,30204390,30.20439,-97.881407,800052
-97880985,30248732,30.248732,-97.880985,800053
-97880329,30237131,30.237131,-97.880329,800054
-97879190,30214099,30.214099,-97.87919,800055
-97878877,30256760,30.25676,-97.878877,800056
-97877827,30250125,30.250125,-97.877827,800057
-97877804,30220833,30.220833,-97.877804,800058
-97877194,30214882,30.214882,-97.877194,800059
-97877096,30215859,30.215859,-97.877096,800060
-97876878,30411978,30.411978,-97.876878,800061
-97876408,30214836,30.214836,-97.876408,800062
-97875957,30192682,30.192682,-97.875957,800063
-97875790,30195289,30.195289,-97.87579,800064
-97875045,30253709,30.253709,-97.875045,800065
-97874912,30224723,30.224723,-97.874912,800066
-97874333,30214227,30.214227,-97.874333,800067
-97874266,30225572,30.225572,-97.874266,800068
-97874172,30221130,30.22113,-97.874172,800069
-97874082,30250770,30.25077,-97.874082,800070
-97873964,30229309,30.229309,-97.873964,800071
-97873360,30230388,30.230388,-97.87336,800072
-97873144,30225710,30.22571,-97.873144,800073
-97873103,30214116,30.214116,-97.873103,800074
-97872820,30206932,30.206932,-97.87282,800075
-97872302,30249869,30.249869,-97.872302,800076
-97871821,30211957,30.211957,-97.871821,800077
-97871384,30227042,30.227042,-97.871384,800078
-97870729,30222904,30.222904,-97.870729,800079
-97870649,30211777,30.211777,-97.870649,800080
-97870407,30188610,30.18861,-97.870407,800081
-97869768,30225498,30.225498,-97.869768,800082
-97869623,30215906,30.215906,-97.869623,800083
-97869552,30229018,30.229018,-97.869552,800084
-97869182,30190675,30.190675,-97.869182,800085
-97868848,30203895,30.203895,-97.868848,800086
-97868571,30211132,30.211132,-97.868571,800087
-97868439,30227710,30.22771,-97.868439,800088
-97868265,30190684,30.190684,-97.868265,800089
-97868203,30215200,30.2152,-97.868203,800090
-97867375,30218121,30.218121,-97.867375,800091
-97867323,30224571,30.224571,-97.867323,800092
-97867323,30224571,30.224571,-97.867323,800093
-97867109,30204644,30.204644,-97.867109,800094
-97866245,30208718,30.208718,-97.866245,800095
-97865796,30205190,30.20519,-97.865796,800096
-97865190,30225330,30.22533,-97.86519,800097
-97864999,30206510,30.20651,-97.864999,800098
-97864960,30206598,30.206598,-97.86496,800099
-97864213,30188246,30.188246,-97.864213,800100
-97864195,30214859,30.214859,-97.864195,800101
-97863778,30219851,30.219851,-97.863778,800102
-97863655,30223243,30.223243,-97.863655,800103
-97863539,30222087,30.222087,-97.863539,800104
-97863144,30220757,30.220757,-97.863144,800105
-97861528,30193251,30.193251,-97.861528,800106
-97861083,30195046,30.195046,-97.861083,800107
-97861071,30359870,30.35987,-97.861071,800108
-97860494,30193210,30.19321,-97.860494,800109
-97859706,30224651,30.224651,-97.859706,800110
-97858790,30224119,30.224119,-97.85879,800111
-97858172,30366411,30.366411,-97.858172,800112
-97857811,30152424,30.152424,-97.857811,800113
-97857716,30203782,30.203782,-97.857716,800114
-97857690,30146264,30.146264,-97.85769,800115
-97857596,30149517,30.149517,-97.857596,800116
-97857437,30158416,30.158416,-97.857437,800117
-97857326,30420342,30.420342,-97.857326,800118
-97856525,30217129,30.217129,-97.856525,800119
-97856263,30207520,30.20752,-97.856263,800120
-97856238,30420629,30.420629,-97.856238,800121
